name	x	y	number		theta		phi (az)
MLC11	0.2081	0.99	1		-106.6241	83.7975
MLC12	0.4981	0.9561	2		-106.9845	84.0023
MLC13	0.8221	0.8377	3		-108.3312	84.2797
MLC14	1.1012	0.7963	4		-108.7838	84.4774
MLC15	1.357	0.718	5		-109.6724	84.6802
MLC21	0.4982	1.1252	6		-105.0061	83.8889
MLC22	0.7859	1.0139	7		-106.2731	84.1455
MLC23	1.0935	0.9808	8		-106.6243	84.3603
MLC24	1.364	0.9015	9		-107.5223	84.5779
MLC31	0.9287	1.174	10		-104.3823	84.1318
MLC32	1.3279	1.1151	11		-105.025	84.4253
MLC33	1.6933	1.2218	12		-103.7343	84.5943
MLC41	0.5049	1.2945	13		-103.025	83.7753
MLC42	1.2043	1.3248	14		-102.5844	84.2106
MLC43	2.0422	1.4041	15		-101.5607	84.7108
MLF11	0.2012	0.151	16		-116.4426	84.3183
MLF12	0.4314	0.1294	17		-116.6691	84.463
MLF21	0.0845	0.3313	18		-114.346	84.1446
MLF22	0.3186	0.3314	19		-114.3171	84.2819
MLF23	0.5489	0.3044	20		-114.6065	84.4325
MLF31	0.2272	0.502	21		-112.3311	84.1253
MLF32	0.4652	0.4893	22		-112.4515	84.275
MLF33	0.6907	0.4665	23		-112.6923	84.4228
MLF34	0.9019	0.4644	24		-112.693	84.5498
MLF41	0.1136	0.6663	25		-110.4225	83.9537
MLF42	0.3778	0.6573	26		-110.4955	84.1197
MLF43	0.6464	0.6371	27		-110.7001	84.295
MLF44	0.8821	0.6568	28		-110.4422	84.4262
MLF45	1.122	0.6019	29		-111.0581	84.6035
MLF51	0.283	0.8221	30		-108.5788	83.9564
MLF52	0.5543	0.7972	31		-108.837	84.1397
MLO11	2.8663	0.8033	32		-108.5215	85.5646
MLO12	2.4941	0.7762	33		-108.874	85.3478
MLO21	2.7125	0.6152	34		-110.7418	85.5598
MLO22	2.399	0.5804	35		-111.179	85.3866
MLO31	2.9205	0.4154	36		-113.0672	85.7756
MLO32	2.6099	0.4014	37		-113.2589	85.5974
MLO33	2.3196	0.3572	38		-113.804	85.4461
MLO41	2.7851	0.1937	39		-115.6801	85.7921
MLO42	2.5102	0.1542	40		-116.1676	85.6498
MLO43	2.2347	0.1016	41		-116.8096	85.5143
MLP11	2.2465	1.2441	42		-103.4137	84.9396
MLP12	1.9601	1.0777	43		-105.3935	84.851
MLP13	1.6283	1.0044	44		-106.2879	84.6831
MLP21	2.7301	1.136	45		-104.6325	85.3113
MLP22	2.3474	1.0762	46		-105.3712	85.0986
MLP31	2.6228	0.9527	47		-106.7921	85.3384
MLP32	2.2385	0.9084	48		-107.3491	85.1205
MLP33	1.9131	0.8874	49		-107.6284	84.9286
MLP34	1.6262	0.8091	50		-108.5761	84.7942
MLT11	0.7684	0.2799	51		-114.8687	84.5746
MLT13	1.3466	0.5245	52		-111.9404	84.782
MLT14	1.6003	0.6135	53		-110.8707	84.8864
MLT15	1.8757	0.6918	54		-109.9246	85.0118
MLT16	2.169	0.7295	55		-109.4531	85.1716
MLT21	0.6557	0.0653	56		-117.3947	84.6267
MLT22	0.9676	0.1871	57		-115.9339	84.741
MLT23	1.322	0.2735	58		-114.884	84.9016
MLT24	1.5682	0.3701	59		-113.7264	84.996
MLT25	1.8212	0.4469	60		-112.8006	85.1066
MLT26	2.1061	0.5364	61		-111.7231	85.2318
MLT31	0.87	-0.0546	62		-118.7761	84.8115
MLT32	1.1864	0.0565	63		-117.441	84.9347
MLT33	1.4999	0.1168	64		-116.7022	85.0843
MLT34	1.76	0.2077	65		-115.6107	85.19
MLT35	2.033	0.2906	66		-114.6121	85.3091
MLT41	1.0971	-0.1982	67		-120.4351	85.0108
MLT42	1.3971	-0.1347	68		-119.6606	85.148
MLT43	1.6772	-0.0623	69		-118.7843	85.2717
MLT44	1.9413	0.0265	70		-117.7177	85.3805
MRC11	-0.1164	1.0101	71		-106.4311	83.5795
MRC12	-0.4331	1.0107	72		-106.4664	83.3798
MRC13	-0.8184	0.921	73		-107.5674	83.2048
MRC14	-1.1378	0.8993	74		-107.8659	83.0226
MRC15	-1.4421	0.8354	75		-108.6559	82.8834
MRC21	-0.3487	1.1753	76		-104.5314	83.3115
MRC22	-0.7325	1.0967	77		-105.503	83.1264
MRC23	-1.1003	1.0849	78		-105.6934	82.9026
MRC24	-1.4394	1.0162	79		-106.5452	82.7434
MRC31	-0.8148	1.2645	80		-103.5552	82.9425
MRC32	-1.3702	1.2299	81		-104.0412	82.613
MRC33	-1.8836	1.3387	82		-102.8523	82.1876
MRC41	-0.1723	1.3346	83		-102.6459	83.3047
MRC42	-1.0454	1.4318	84		-101.6365	82.6544
MRC43	-2.8851	1.4836	85		-101.3332	81.3965
MRF11	-0.2586	0.175	86		-116.2166	84.0392
MRF12	-0.4911	0.1736	87		-116.2617	83.9059
MRF21	-0.1252	0.3426	88		-114.2392	84.0148
MRF22	-0.3615	0.3632	89		-114.0276	83.8631
MRF23	-0.5923	0.3596	90		-114.099	83.7298
MRF31	-0.2491	0.5267	91		-112.101	83.8252
MRF32	-0.4916	0.5402	92		-111.9741	83.6713
MRF33	-0.7248	0.5398	93		-112.0094	83.5321
MRF34	-0.9499	0.5564	94		-111.8455	83.3861
MRF41	-0.1106	0.6789	95		-110.3032	83.8093
MRF42	-0.3787	0.6981	96		-110.1132	83.6335
MRF43	-0.6616	0.7069	97		-110.0477	83.4553
MRF44	-0.9115	0.7446	98		-109.6411	83.2762
MRF45	-1.1787	0.7085	99		-110.1001	83.1397
MRF51	-0.2469	0.8549	100		-108.2627	83.6068
MRF52	-0.5396	0.8585	101		-108.2595	83.4232
MRO11	-3.1112	0.8208	102		-109.0866	81.8711
MRO12	-2.7196	0.8363	103		-108.8418	82.0976
MRO21	-2.9201	0.6515	104		-111.0278	82.1313
MRO22	-2.5878	0.6477	105		-111.0192	82.3343
MRO31	-3.1008	0.4301	106		-113.6371	82.2049
MRO32	-2.7845	0.4472	107		-113.3879	82.3774
MRO33	-2.4785	0.4289	108		-113.5541	82.5719
