E	t	p	number	
A1	-122	4	1	
A2	122	-4	2	
AF1	-71	-78	3	
AF10	115	47	4	
AF2	71	78	5	
AF3	-74	-67	6	
AF4	74	67	7	
AF5	-83	-59	8	
AF6	83	59	9	
AF7	-92	-52	10	
AF8	92	52	11	
AF9	-115	-47	12	
AFz	69	90	13
C1	-23	0	14
C1a	-28	-23	15
C1p	-28	23	16
C2	23	0	17
C2a	28	23	18
C2p	28	-23	19
C3	-46	0	20
C3a	-48	-14	21
C3p	-48	14	22
C4	46	0	23
C4a	48	14	24
C4p	48	-14	25
C5	-69	0	26
C5a	-70	-11	27
C5p	-70	11	28
C6	69	0	29
C6a	70	11	30
C6p	70	-11	31
CB1	-130	45	32
CB2	130	-45	33
Chin	155	90	34
CP1	-32	45	35
CP2	32	-45	36
CP3	-50	28	37
CP3p	-55	40	38
CP4	50	-28	39
CP4p	55	-40	40
CP5	-71	21	41
CP6	71	-21	42
CPz	23	-90	43
Cz	0	90	44
Cza	12	90	45
Czp	12	-90	46
CZPp	35	-90	47
F1	-50	-68	48
F10	115	35	49
F2	50	68	50
F3	-60	-51	51
F3a	-67	-59	52
F4	60	51	53
F4a	67	59	54
F5	-75	-41	55
F6	75	41	56
F7	-92	-36	57
F7a	-92	-44	58
F8	92	36	59
F8a	92	44	60
F9	-115	-35	61
FC1	-32	-45	62
FC2	32	45	63
FC3	-50	-28	64
FC3a	-55	-40	65
FC4	50	28	66
FC4a	55	40	67
FC5	-71	-21	68
FC6	71	21	69
FCz	23	90	70
FCza	36	90	71
Fp1	-92	-72	72
Fp2	92	72	73
Fpz	92	90	74
FT10	115	18	75
FT7	-92	-18	76
FT7a	-92	-27	77
FT8	92	18	78
FT8a	92	27	79
FT9	-115	-18	80
Fz	46	90	81
Fza	58	90	82
HEOG	-118	-48	83
IO1	-125	-63	84
IO2/VEOG	125	63	85
Iz	115	-90	86
LO1	-120	-52	87
LO2	120	52	88
M1	-120	25	89
M2	120	-25	90
Neck	150	-90	91
Nose	135	90	92
Nz/Nas	112	90	93
O1	-92	72	94
O10	115	-72	95
O2	92	-72	96
O9	-115	72	97
Oz	92	-90	98
P1	-50	68	99
P10	115	-36	100
P2	50	-68	101
P3	-60	51	102
P3p	-67	59	103
P4	60	-51	104
P4p	67	-59	105
P5	-75	41	106
P6	75	-41	107
P7/T5	-92	36	108
P7p	-92	45	109
P8/T6	92	-36	110
P8p	92	-45	111
P9	-115	36	112
PG1	-135	-70	113
PG2	135	70	114
PO1	-71	78	115
PO10	115	-54	116
PO2	71	-78	117
PO3	-74	67	118
PO4	74	-67	119
PO5	-83	59	120
PO6	83	-59	121
PO7	-92	54	122
PO8	92	-54	123
PO9	-115	54	124
POz	69	-90	125
Pz	46	-90	126
SO1	-105	-65	127
SO2	105	65	128
SP1	-145	-25	129
SP2	145	25	130
T1	-108	-20	131
T10/RPA	115	0	132
T2	108	20	133
T3/T7	-92	0	134
T4/T8	92	0	135
T7a	-92	-9	136
T7p	-92	9	137
T8a	92	9	138
T8p	92	-9	139
T9/LPA	-115	0	140
TP10	115	-18	141
TP10p	115	-27	142
TP7	-92	18	143
TP7p	-92	27	144
TP8	92	-18	145
TP8p	92	-27	146
TP9	-115	18	147
TP9p	-115	27	148

